Date : 2024-03-10 13:00:42
Directory : c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\core
Total : 2904 files,  -759311 codes, -236699 comments, -142850 blanks, all -1138860 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| ..\vendor\cmsis_f4                                                                                                                                                                        |         30 |   -283,761 |    -21,145 |    -19,733 |   -324,639 |
| ..\vendor\cmsis_f4 (Files)                                                                                                                                                                |          5 |     -1,675 |        -49 |       -512 |     -2,236 |
| ..\vendor\cmsis_f4\Include                                                                                                                                                                |         25 |   -282,086 |    -21,096 |    -19,221 |   -322,403 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                  | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\.settings\language.settings.xml                                                                                                       | XML              |        -15 |          0 |          0 |        -15 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\LICENSE.md                                                                                                            | Markdown         |        -16 |          0 |         -4 |        -20 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\README.md                                                                                                             | Markdown         |       -136 |          0 |        -47 |       -183 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\croutine.c                                                                                                            | C                |       -192 |       -121 |        -67 |       -380 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\event_groups.c                                                                                                        | C                |       -527 |       -182 |       -151 |       -860 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\examples\cmake_example\main.c                                                                                         | C                |        -37 |        -39 |        -12 |        -88 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\examples\sample_configuration\FreeRTOSConfig.h                                                                        | C++              |        -79 |       -302 |        -63 |       -444 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\examples\sample_configuration\readme.md                                                                               | Markdown         |         -4 |          0 |         -3 |         -7 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\FreeRTOS.h                                                                                                    | C++              |     -2,220 |       -289 |       -732 |     -3,241 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\StackMacros.h                                                                                                 | C++              |         -4 |        -27 |         -4 |        -35 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\atomic.h                                                                                                      | C++              |       -169 |       -198 |        -53 |       -420 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\croutine.h                                                                                                    | C++              |        -82 |       -650 |        -24 |       -756 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\deprecated_definitions.h                                                                                      | C++              |       -180 |        -39 |        -63 |       -282 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\event_groups.h                                                                                                | C++              |        -82 |       -717 |        -29 |       -828 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\list.h                                                                                                        | C++              |       -139 |       -327 |        -38 |       -504 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\message_buffer.h                                                                                              | C++              |        -56 |       -802 |        -30 |       -888 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\mpu_prototypes.h                                                                                              | C++              |       -280 |        -54 |        -15 |       -349 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\mpu_wrappers.h                                                                                                | C++              |       -180 |        -64 |        -43 |       -287 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\newlib-freertos.h                                                                                             | C++              |        -17 |        -36 |        -10 |        -63 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\picolibc-freertos.h                                                                                           | C++              |        -36 |        -41 |        -15 |        -92 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\portable.h                                                                                                    | C++              |       -122 |       -119 |        -31 |       -272 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\projdefs.h                                                                                                    | C++              |        -77 |        -41 |        -14 |       -132 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\queue.h                                                                                                       | C                |       -152 |     -1,561 |        -52 |     -1,765 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\semphr.h                                                                                                      | C++              |        -67 |     -1,119 |        -30 |     -1,216 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\stack_macros.h                                                                                                | C++              |        -65 |        -52 |        -21 |       -138 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\stream_buffer.h                                                                                               | C++              |        -81 |       -831 |        -34 |       -946 |
