"filename", "language", "Markdown", "LinkerScript", "XML", "CMake", "Makefile", "C", "Assembly", "C++", "YAML", "HTML", "Groovy", "Python", "pip requirements", "Shell Script", "Ini", "JSON", "Batch", "reStructuredText", "SQL", "XSL", "toml", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM7\r0p1\portmacro.h", "C++", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 46, 268
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_1.c", "C", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 23, 153
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_2.c", "C", 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 61, 387
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_3.c", "C", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 14, 95
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_4.c", "C", 0, 0, 0, 0, 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 89, 611
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\MemMang\heap_5.c", "C", 0, 0, 0, 0, 0, 404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 104, 710
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\Tasking\ARM_CM4F\port.c", "C", 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 44, 276
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\Tasking\ARM_CM4F\port_asm.asm", "Assembly", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 43, 237
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\Tasking\ARM_CM4F\portmacro.h", "C++", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 27, 152
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\template\port.c", "C", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 47
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\template\portmacro.h", "C++", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 18, 96
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\queue.c", "C", 0, 0, 0, 0, 0, 2176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 667, 511, 3354
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\stream_buffer.c", "C", 0, 0, 0, 0, 0, 1018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 285, 231, 1534
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\tasks.c", "C", 0, 0, 0, 0, 0, 5317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1887, 1337, 8541
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\timers.c", "C", 0, 0, 0, 0, 0, 806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 287, 230, 1323
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Makefile", "Makefile", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 58
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Q24VCU.launch", "XML", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 84
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\arm_common_tables.h", "C++", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 39
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\arm_math.h", "C++", 0, 0, 0, 0, 0, 0, 0, 2837, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3514, 1207, 7558
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm0.h", "C++", 0, 0, 0, 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 225, 133, 668
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm0plus.h", "C++", 0, 0, 0, 0, 0, 0, 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 240, 159, 779
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm3.h", "C++", 0, 0, 0, 0, 0, 0, 0, 878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 384, 351, 1613
